PERIODO,VALOR
2020M12,696.16
2020M11,467.15
2020M10,861.80
2020M09,967.48
2020M08,2456.83
2020M07,2450.09
2020M06,133.37
2020M05,0.00
2020M04,0.00
2020M03,2214.89
2020M02,4713.58
2020M01,4778.57
2019M12,5010.84
2019M11,5062.63
2019M10,8322.55
